technology,month,day,hour,generation_mwh
Carbon,1,1,0,250.0
Carbon,1,1,1,250.0
Carbon,1,1,2,243.0
Carbon,1,1,3,265.0
Carbon,1,1,4,250.0
Carbon,1,1,5,265.0
Carbon,1,1,6,250.0
Carbon,1,1,7,250.0
Carbon,1,1,8,250.0
Carbon,1,1,9,265.0
Carbon,1,1,10,250.0
Carbon,1,1,11,250.0
Carbon,1,1,12,250.0
Carbon,1,1,13,250.0
Carbon,1,1,14,250.0
Carbon,1,1,15,268.0
Carbon,1,1,16,250.0
Carbon,1,1,17,250.0
Carbon,1,1,18,250.0
Carbon,1,1,19,250.0
Carbon,1,1,20,250.0
Carbon,1,1,21,250.0
Carbon,1,1,22,250.0
Carbon,1,1,23,250.0
Carbon,1,2,0,250.0
Carbon,1,2,1,250.0
Carbon,1,2,2,250.0
Carbon,1,2,3,250.0
Carbon,1,2,4,250.0
Carbon,1,2,5,250.0
Carbon,1,2,6,250.0
Carbon,1,2,7,250.0
Carbon,1,2,8,250.0
Carbon,1,2,9,250.0
Carbon,1,2,10,250.0
Carbon,1,2,11,250.0
Carbon,1,2,12,250.0
Carbon,1,2,13,250.0
Carbon,1,2,14,250.0
Carbon,1,2,15,250.0
Carbon,1,2,16,250.0
Carbon,1,2,17,250.0
Carbon,1,2,18,250.0
Carbon,1,2,19,250.0
Carbon,1,2,20,250.0
Carbon,1,2,21,250.0
Carbon,1,2,22,250.0
Carbon,1,2,23,250.0
Carbon,1,3,0,250.0
Carbon,1,3,1,250.0
Carbon,1,3,2,250.0
Carbon,1,3,3,250.0
Carbon,1,3,4,250.0
Carbon,1,3,5,250.0
Carbon,1,3,6,250.0
Carbon,1,3,7,250.0
Carbon,1,3,8,250.0
Carbon,1,3,9,250.0
Carbon,1,3,10,250.0
Carbon,1,3,11,250.0
Carbon,1,3,12,250.0
Carbon,1,3,13,250.0
Carbon,1,3,14,250.0
Carbon,1,3,15,250.0
Carbon,1,3,16,250.0
Carbon,1,3,17,250.0
Carbon,1,3,18,250.0
Carbon,1,3,19,250.0
Carbon,1,3,20,250.0
Carbon,1,3,21,250.0
Carbon,1,3,22,250.0
Carbon,1,3,23,250.0
Carbon,1,4,0,250.0
Carbon,1,4,1,250.0
Carbon,1,4,2,250.0
Carbon,1,4,3,250.0
Carbon,1,4,4,250.0
Carbon,1,4,5,250.0
Carbon,1,4,6,270.0
Carbon,1,4,7,290.0
Carbon,1,4,8,320.0
Carbon,1,4,9,370.0
Carbon,1,4,10,410.0
Carbon,1,4,11,450.0
Carbon,1,4,12,450.0
Carbon,1,4,13,450.0
Carbon,1,4,14,400.0
Carbon,1,4,15,375.0
Carbon,1,4,16,371.6
Carbon,1,4,17,472.6
Carbon,1,4,18,588.5
Carbon,1,4,19,566.0
Carbon,1,4,20,521.0
Carbon,1,4,21,491.0
Carbon,1,4,22,345.0
Carbon,1,4,23,300.0
Carbon,1,5,0,325.7
Carbon,1,5,1,320.0
Carbon,1,5,2,250.0
Carbon,1,5,3,250.0
Carbon,1,5,4,310.0
Carbon,1,5,5,410.0
Carbon,1,5,6,410.0
Carbon,1,5,7,495.0
Carbon,1,5,8,640.0
Carbon,1,5,9,675.0
Carbon,1,5,10,675.0
Carbon,1,5,11,700.0
Carbon,1,5,12,699.6
Carbon,1,5,13,675.0
Carbon,1,5,14,770.0
Carbon,1,5,15,687.5
Carbon,1,5,16,685.0
Carbon,1,5,17,758.2
Carbon,1,5,18,861.0
Carbon,1,5,19,856.0
Carbon,1,5,20,856.0
Carbon,1,5,21,846.0
Carbon,1,5,22,899.8
Carbon,1,5,23,1030.0
Carbon,1,6,0,1123.0
Carbon,1,6,1,1210.3
Carbon,1,6,2,1025.0
Carbon,1,6,3,875.0
Carbon,1,6,4,740.0
Carbon,1,6,5,780.0
Carbon,1,6,6,931.8
Carbon,1,6,7,1250.0
Carbon,1,6,8,1191.7
Carbon,1,6,9,1170.0
Carbon,1,6,10,1170.0
Carbon,1,6,11,1178.5
Carbon,1,6,12,1235.0
Carbon,1,6,13,1235.0
Carbon,1,6,14,1235.0
Carbon,1,6,15,1235.0
Carbon,1,6,16,1235.0
Carbon,1,6,17,1215.0
Carbon,1,6,18,1235.0
Carbon,1,6,19,1235.0
Carbon,1,6,20,1241.7
Carbon,1,6,21,1388.0
Carbon,1,6,22,1370.0
Carbon,1,6,23,1369.7
Carbon,1,7,0,1355.0
Carbon,1,7,1,1305.0
Carbon,1,7,2,1245.0
Carbon,1,7,3,1265.0
Carbon,1,7,4,1360.0
Carbon,1,7,5,1481.4
Carbon,1,7,6,1595.0
Carbon,1,7,7,1707.5
Carbon,1,7,8,1790.0
Carbon,1,7,9,1880.0
Carbon,1,7,10,1895.0
Carbon,1,7,11,1842.5
Carbon,1,7,12,1895.0
Carbon,1,7,13,1895.0
Carbon,1,7,14,1940.0
Carbon,1,7,15,1940.0
Carbon,1,7,16,1940.0
Carbon,1,7,17,1940.0
Carbon,1,7,18,1975.0
Carbon,1,7,19,1975.0
Carbon,1,7,20,1975.0
Carbon,1,7,21,1975.0
Carbon,1,7,22,1975.0
Carbon,1,7,23,1940.0
Carbon,1,8,0,1915.0
Carbon,1,8,1,1890.0
Carbon,1,8,2,1810.1
Carbon,1,8,3,1503.6
Carbon,1,8,4,1470.0
Carbon,1,8,5,1553.0
Carbon,1,8,6,1728.6
Carbon,1,8,7,1775.0
Carbon,1,8,8,1753.0
Carbon,1,8,9,1800.0
Carbon,1,8,10,2162.0
Carbon,1,8,11,2117.9
Carbon,1,8,12,2059.0
Carbon,1,8,13,2165.7
Carbon,1,8,14,2060.0
Carbon,1,8,15,2093.7
Carbon,1,8,16,2100.0
Carbon,1,8,17,2070.0
Carbon,1,8,18,2070.0
Carbon,1,8,19,2078.5
Carbon,1,8,20,2070.0
Carbon,1,8,21,2025.0
Carbon,1,8,22,2025.0
Carbon,1,8,23,1902.3
Carbon,1,9,0,1814.3
Carbon,1,9,1,1521.3
Carbon,1,9,2,1184.0
Carbon,1,9,3,1047.7
Carbon,1,9,4,1011.0
Carbon,1,9,5,1011.0
Carbon,1,9,6,1086.1
Carbon,1,9,7,1080.5
Carbon,1,9,8,1456.9
Carbon,1,9,9,1668.9
Carbon,1,9,10,1774.5
Carbon,1,9,11,1861.2
Carbon,1,9,12,1826.0
Carbon,1,9,13,1806.0
Carbon,1,9,14,1885.6
Carbon,1,9,15,1915.0
Carbon,1,9,16,1690.0
Carbon,1,9,17,1692.8
Carbon,1,9,18,1690.0
Carbon,1,9,19,1690.0
Carbon,1,9,20,1690.0
Carbon,1,9,21,1690.0
Carbon,1,9,22,1690.0
Carbon,1,9,23,1600.0
Carbon,1,10,0,1348.9
Carbon,1,10,1,1175.0
Carbon,1,10,2,1090.0
Carbon,1,10,3,1045.0
Carbon,1,10,4,1040.0
Carbon,1,10,5,1040.0
Carbon,1,10,6,1040.0
Carbon,1,10,7,1040.0
Carbon,1,10,8,1074.2
Carbon,1,10,9,1137.1
Carbon,1,10,10,1148.2
Carbon,1,10,11,1228.0
Carbon,1,10,12,1200.0
Carbon,1,10,13,1160.0
Carbon,1,10,14,1200.0
Carbon,1,10,15,1290.0
Carbon,1,10,16,1290.0
Carbon,1,10,17,1350.0
Carbon,1,10,18,1392.0
Carbon,1,10,19,1410.0
Carbon,1,10,20,1410.0
Carbon,1,10,21,1410.0
Carbon,1,10,22,1400.0
Carbon,1,10,23,1331.6
Carbon,1,11,0,1332.2
Carbon,1,11,1,1297.0
Carbon,1,11,2,1215.0
Carbon,1,11,3,1090.0
Carbon,1,11,4,1050.0
Carbon,1,11,5,1146.4
Carbon,1,11,6,1281.3
Carbon,1,11,7,1543.4
Carbon,1,11,8,1685.0
Carbon,1,11,9,1680.0
Carbon,1,11,10,1690.0
Carbon,1,11,11,1685.0
Carbon,1,11,12,1680.0
Carbon,1,11,13,1670.0
Carbon,1,11,14,1670.0
Carbon,1,11,15,1685.0
Carbon,1,11,16,1685.0
Carbon,1,11,17,1777.0
Carbon,1,11,18,1750.0
Carbon,1,11,19,1770.0
Carbon,1,11,20,1820.0
Carbon,1,11,21,1724.0
Carbon,1,11,22,1699.5
Carbon,1,11,23,1663.2
Carbon,1,12,0,1525.0
