ID,City,Year,Sport,Event,Sex,Medal,Age,Name,NOC
12068,Athina,1896,Athletics,"Athletics Men's 1,500 metres",M,Silver,24.0,Arthur Charles Blake,USA
35698,Athina,1896,Athletics,"Athletics Men's 1,500 metres",M,Gold,22.0,"Edwin Harold ""Teddy"" Flack",AUS
68911,Athina,1896,Athletics,"Athletics Men's 1,500 metres",M,Bronze,21.0,Albin Georges Lermusiaux,FRA
16616,Athina,1896,Athletics,Athletics Men's 100 metres,M,Gold,21.0,"Thomas Edmund ""Tom"" Burke",USA
49185,Athina,1896,Athletics,Athletics Men's 100 metres,M,Silver,24.0,Fritz Hofmann,GER
66362,Athina,1896,Athletics,Athletics Men's 100 metres,M,Bronze,21.0,"Francis Adonijah ""Frank"" Lane",USA
117571,Athina,1896,Athletics,Athletics Men's 100 metres,M,Bronze,24.0,Alajos (Aljoz) Szokoly (-Szokol),HUN
24423,Athina,1896,Athletics,Athletics Men's 110 metres Hurdles,M,Gold,23.0,"Thomas Pelham ""Tom"" Curtis",USA
42069,Athina,1896,Athletics,Athletics Men's 110 metres Hurdles,M,Silver,22.0,Grantley Thomas Smart Goulding,GBR
16616,Athina,1896,Athletics,Athletics Men's 400 metres,M,Gold,21.0,"Thomas Edmund ""Tom"" Burke",USA
40851,Athina,1896,Athletics,Athletics Men's 400 metres,M,Bronze,23.0,Charles Henry Stuart Gmelin,GBR
53542,Athina,1896,Athletics,Athletics Men's 400 metres,M,Silver,20.0,Herbert Brotherson Jamison,USA
25184,Athina,1896,Athletics,Athletics Men's 800 metres,M,Silver,24.0,Nndor Dni,HUN
35698,Athina,1896,Athletics,Athletics Men's 800 metres,M,Gold,22.0,"Edwin Harold ""Teddy"" Flack",AUS
41160,Athina,1896,Athletics,Athletics Men's 800 metres,M,Bronze,21.0,Dimitrios P. Golemis,GRE
38860,Athina,1896,Athletics,Athletics Men's Discus Throw,M,Gold,20.0,"Robert ""Bob"" Garrett",USA
91355,Athina,1896,Athletics,Athletics Men's Discus Throw,M,Silver,,Panagiotis Paraskevopoulos,GRE
126142,Athina,1896,Athletics,Athletics Men's Discus Throw,M,Bronze,,Sotirios Versis,GRE
21795,Athina,1896,Athletics,Athletics Men's High Jump,M,Gold,22.0,Ellery Harding Clark,USA
22700,Athina,1896,Athletics,Athletics Men's High Jump,M,Silver,27.0,James Brendan Bennet Connolly,USA
38860,Athina,1896,Athletics,Athletics Men's High Jump,M,Silver,20.0,"Robert ""Bob"" Garrett",USA
21795,Athina,1896,Athletics,Athletics Men's Long Jump,M,Gold,22.0,Ellery Harding Clark,USA
22700,Athina,1896,Athletics,Athletics Men's Long Jump,M,Bronze,27.0,James Brendan Bennet Connolly,USA
