datetime,solar
2022-01-01 00:00:00,7.1
2022-01-01 01:00:00,19.1
2022-01-01 02:00:00,0.1
2022-01-01 03:00:00,0.1
2022-01-01 04:00:00,0.1
2022-01-01 05:00:00,14.7
2022-01-01 06:00:00,15.4
2022-01-01 07:00:00,2.7
2022-01-01 08:00:00,212.5
2022-01-01 09:00:00,2025.4
2022-01-01 10:00:00,4923.9
2022-01-01 11:00:00,6459.5
2022-01-01 12:00:00,7189.2
2022-01-01 13:00:00,7245.2
2022-01-01 14:00:00,7006.4
2022-01-01 15:00:00,6231.2
2022-01-01 16:00:00,4040.0
2022-01-01 17:00:00,1136.2
2022-01-01 18:00:00,46.8
2022-01-01 19:00:00,8.9
2022-01-01 20:00:00,4.2
2022-01-01 21:00:00,3.2
2022-01-01 22:00:00,2.1
2022-01-01 23:00:00,0.7
2022-01-02 00:00:00,0.1
2022-01-02 01:00:00,0.1
2022-01-02 02:00:00,0.1
2022-01-02 03:00:00,0.1
2022-01-02 04:00:00,0.1
2022-01-02 05:00:00,0.1
2022-01-02 06:00:00,0.3
2022-01-02 07:00:00,3.7
2022-01-02 08:00:00,185.9
2022-01-02 09:00:00,1618.9
2022-01-02 10:00:00,4028.0
2022-01-02 11:00:00,5648.4
2022-01-02 12:00:00,6395.3
2022-01-02 13:00:00,6474.0
2022-01-02 14:00:00,6320.1
2022-01-02 15:00:00,5573.3
2022-01-02 16:00:00,3678.0
2022-01-02 17:00:00,1071.9
2022-01-02 18:00:00,50.5
2022-01-02 19:00:00,6.0
2022-01-02 20:00:00,2.7
2022-01-02 21:00:00,1.5
2022-01-02 22:00:00,1.0
2022-01-02 23:00:00,0.9
2022-01-03 00:00:00,0.2
2022-01-03 01:00:00,0.2
2022-01-03 02:00:00,0.2
2022-01-03 03:00:00,0.2
2022-01-03 04:00:00,0.2
2022-01-03 05:00:00,0.2
2022-01-03 06:00:00,0.3
2022-01-03 07:00:00,2.6
2022-01-03 08:00:00,184.9
2022-01-03 09:00:00,1835.9
2022-01-03 10:00:00,4589.0
2022-01-03 11:00:00,6330.8
2022-01-03 12:00:00,7152.0
2022-01-03 13:00:00,7129.6
2022-01-03 14:00:00,6983.5
2022-01-03 15:00:00,6213.0
2022-01-03 16:00:00,4117.1
2022-01-03 17:00:00,1244.9
2022-01-03 18:00:00,76.0
2022-01-03 19:00:00,5.8
2022-01-03 20:00:00,2.6
2022-01-03 21:00:00,1.4
2022-01-03 22:00:00,0.9
2022-01-03 23:00:00,0.8
2022-01-04 00:00:00,0.1
2022-01-04 01:00:00,13.6
2022-01-04 02:00:00,18.3
2022-01-04 03:00:00,32.3
2022-01-04 04:00:00,0.1
2022-01-04 05:00:00,18.0
2022-01-04 06:00:00,0.3
2022-01-04 07:00:00,7.9
2022-01-04 08:00:00,209.6
2022-01-04 09:00:00,1643.4
2022-01-04 10:00:00,3932.1
2022-01-04 11:00:00,5122.9
2022-01-04 12:00:00,5237.6
2022-01-04 13:00:00,5022.7
2022-01-04 14:00:00,4628.1
2022-01-04 15:00:00,3938.0
2022-01-04 16:00:00,2451.0
2022-01-04 17:00:00,715.5
2022-01-04 18:00:00,67.9
2022-01-04 19:00:00,34.2
2022-01-04 20:00:00,16.7
2022-01-04 21:00:00,10.5
2022-01-04 22:00:00,0.9
2022-01-04 23:00:00,13.4
2022-01-05 00:00:00,0.1
2022-01-05 01:00:00,0.1
2022-01-05 02:00:00,25.3
2022-01-05 03:00:00,20.7
2022-01-05 04:00:00,14.9
2022-01-05 05:00:00,14.7
2022-01-05 06:00:00,0.2
2022-01-05 07:00:00,2.5
2022-01-05 08:00:00,165.4
2022-01-05 09:00:00,1595.4
2022-01-05 10:00:00,3938.9
2022-01-05 11:00:00,5033.3
2022-01-05 12:00:00,5444.2
2022-01-05 13:00:00,5129.7
2022-01-05 14:00:00,4571.7
2022-01-05 15:00:00,3480.4
2022-01-05 16:00:00,1950.8
2022-01-05 17:00:00,554.2
2022-01-05 18:00:00,43.3
2022-01-05 19:00:00,5.6
2022-01-05 20:00:00,2.3
2022-01-05 21:00:00,1.2
2022-01-05 22:00:00,0.8
2022-01-05 23:00:00,0.7
2022-01-06 00:00:00,0.1
2022-01-06 01:00:00,0.1
2022-01-06 02:00:00,0.1
2022-01-06 03:00:00,0.1
2022-01-06 04:00:00,0.1
2022-01-06 05:00:00,0.2
2022-01-06 06:00:00,0.2
2022-01-06 07:00:00,2.5
2022-01-06 08:00:00,227.6
2022-01-06 09:00:00,2044.7
2022-01-06 10:00:00,4957.1
2022-01-06 11:00:00,6591.3
2022-01-06 12:00:00,7165.6
2022-01-06 13:00:00,7265.1
2022-01-06 14:00:00,7109.3
2022-01-06 15:00:00,6422.5
2022-01-06 16:00:00,4353.1
2022-01-06 17:00:00,1368.7
2022-01-06 18:00:00,70.6
2022-01-06 19:00:00,21.4
2022-01-06 20:00:00,6.3
2022-01-06 21:00:00,4.7
2022-01-06 22:00:00,0.6
2022-01-06 23:00:00,1.7
2022-01-07 00:00:00,0.1
2022-01-07 01:00:00,0.1
2022-01-07 02:00:00,0.1
2022-01-07 03:00:00,0.1
2022-01-07 04:00:00,0.1
2022-01-07 05:00:00,0.2
2022-01-07 06:00:00,0.2
2022-01-07 07:00:00,2.5
2022-01-07 08:00:00,172.7
2022-01-07 09:00:00,1885.2
2022-01-07 10:00:00,4790.2
2022-01-07 11:00:00,6417.3
2022-01-07 12:00:00,7103.8
2022-01-07 13:00:00,7153.8
2022-01-07 14:00:00,7036.4
2022-01-07 15:00:00,6297.3
2022-01-07 16:00:00,4255.0
2022-01-07 17:00:00,1408.1
2022-01-07 18:00:00,121.7
2022-01-07 19:00:00,33.9
2022-01-07 20:00:00,1.7
2022-01-07 21:00:00,1.0
2022-01-07 22:00:00,0.6
2022-01-07 23:00:00,0.5
2022-01-08 00:00:00,0.1
2022-01-08 01:00:00,0.1
2022-01-08 02:00:00,0.1
2022-01-08 03:00:00,0.1
2022-01-08 04:00:00,0.1
2022-01-08 05:00:00,0.2
2022-01-08 06:00:00,0.2
2022-01-08 07:00:00,2.5
2022-01-08 08:00:00,188.3
2022-01-08 09:00:00,2107.8
2022-01-08 10:00:00,5057.4
2022-01-08 11:00:00,6639.4
2022-01-08 12:00:00,7121.8
2022-01-08 13:00:00,7173.2
2022-01-08 14:00:00,6900.7
2022-01-08 15:00:00,6093.1
2022-01-08 16:00:00,4121.9
2022-01-08 17:00:00,1352.1
2022-01-08 18:00:00,74.8
2022-01-08 19:00:00,4.2
2022-01-08 20:00:00,1.7
2022-01-08 21:00:00,1.0
2022-01-08 22:00:00,0.6
2022-01-08 23:00:00,0.5
2022-01-09 00:00:00,0.1
2022-01-09 01:00:00,0.1
2022-01-09 02:00:00,0.1
2022-01-09 03:00:00,13.3
2022-01-09 04:00:00,0.1
2022-01-09 05:00:00,0.1
2022-01-09 06:00:00,0.2
2022-01-09 07:00:00,2.5
2022-01-09 08:00:00,138.5
2022-01-09 09:00:00,1607.2
2022-01-09 10:00:00,4134.8
2022-01-09 11:00:00,5707.4
2022-01-09 12:00:00,6070.8
2022-01-09 13:00:00,6142.3
2022-01-09 14:00:00,5947.2
2022-01-09 15:00:00,5240.7
2022-01-09 16:00:00,3488.5
2022-01-09 17:00:00,1124.7
2022-01-09 18:00:00,68.6
2022-01-09 19:00:00,5.0
2022-01-09 20:00:00,1.8
2022-01-09 21:00:00,1.1
2022-01-09 22:00:00,0.6
2022-01-09 23:00:00,0.5
2022-01-10 00:00:00,0.1
2022-01-10 01:00:00,0.1
2022-01-10 02:00:00,0.1
2022-01-10 03:00:00,0.1
2022-01-10 04:00:00,0.1
2022-01-10 05:00:00,0.1
2022-01-10 06:00:00,0.1
2022-01-10 07:00:00,2.5
2022-01-10 08:00:00,103.9
2022-01-10 09:00:00,1108.7
2022-01-10 10:00:00,2903.9
2022-01-10 11:00:00,4293.1
2022-01-10 12:00:00,5203.3
2022-01-10 13:00:00,5578.8
2022-01-10 14:00:00,5557.1
2022-01-10 15:00:00,5125.0
2022-01-10 16:00:00,3629.1
2022-01-10 17:00:00,1214.6
2022-01-10 18:00:00,91.9
2022-01-10 19:00:00,21.9
2022-01-10 20:00:00,13.3
2022-01-10 21:00:00,12.9
2022-01-10 22:00:00,18.0
2022-01-10 23:00:00,0.6
2022-01-11 00:00:00,0.1
2022-01-11 01:00:00,0.1
2022-01-11 02:00:00,0.1
2022-01-11 03:00:00,0.1
2022-01-11 04:00:00,0.1
2022-01-11 05:00:00,0.1
2022-01-11 06:00:00,0.1
2022-01-11 07:00:00,2.6
2022-01-11 08:00:00,154.1
2022-01-11 09:00:00,1654.1
2022-01-11 10:00:00,4140.2
2022-01-11 11:00:00,5571.6
2022-01-11 12:00:00,6228.6
2022-01-11 13:00:00,6269.4
2022-01-11 14:00:00,6015.7
2022-01-11 15:00:00,5446.4
2022-01-11 16:00:00,3841.4
2022-01-11 17:00:00,1345.6
2022-01-11 18:00:00,101.2
2022-01-11 19:00:00,16.6
2022-01-11 20:00:00,1.8
2022-01-11 21:00:00,1.1
2022-01-11 22:00:00,0.7
2022-01-11 23:00:00,0.6
2022-01-12 00:00:00,0.1
2022-01-12 01:00:00,0.1
2022-01-12 02:00:00,0.1
2022-01-12 03:00:00,0.1
2022-01-12 04:00:00,0.1
2022-01-12 05:00:00,0.1
2022-01-12 06:00:00,0.1
2022-01-12 07:00:00,2.2
2022-01-12 08:00:00,155.9
2022-01-12 09:00:00,1888.0
2022-01-12 10:00:00,4751.6
2022-01-12 11:00:00,6344.1
2022-01-12 12:00:00,7092.4
2022-01-12 13:00:00,7225.7
2022-01-12 14:00:00,7163.6
2022-01-12 15:00:00,6609.7
2022-01-12 16:00:00,4651.2
2022-01-12 17:00:00,1638.3
2022-01-12 18:00:00,89.3
2022-01-12 19:00:00,4.3
2022-01-12 20:00:00,1.8
2022-01-12 21:00:00,7.3
2022-01-12 22:00:00,2.7
2022-01-12 23:00:00,32.0
2022-01-13 00:00:00,0.1
2022-01-13 01:00:00,0.1
2022-01-13 02:00:00,0.1
2022-01-13 03:00:00,0.1
2022-01-13 04:00:00,0.1
2022-01-13 05:00:00,0.1
2022-01-13 06:00:00,2.0
2022-01-13 07:00:00,4.3
2022-01-13 08:00:00,192.5
2022-01-13 09:00:00,1935.0
2022-01-13 10:00:00,4785.2
2022-01-13 11:00:00,6403.3
2022-01-13 12:00:00,6936.0
2022-01-13 13:00:00,7211.8
2022-01-13 14:00:00,7011.0
2022-01-13 15:00:00,6428.9
2022-01-13 16:00:00,4567.9
2022-01-13 17:00:00,1617.8
2022-01-13 18:00:00,100.4
2022-01-13 19:00:00,4.8
2022-01-13 20:00:00,1.9
2022-01-13 21:00:00,1.0
2022-01-13 22:00:00,0.7
2022-01-13 23:00:00,0.5
2022-01-14 00:00:00,0.1
2022-01-14 01:00:00,0.1
2022-01-14 02:00:00,0.1
2022-01-14 03:00:00,0.1
2022-01-14 04:00:00,0.3
2022-01-14 05:00:00,0.1
2022-01-14 06:00:00,1.6
2022-01-14 07:00:00,2.5
2022-01-14 08:00:00,181.2
2022-01-14 09:00:00,1989.1
2022-01-14 10:00:00,4945.5
2022-01-14 11:00:00,6520.8
2022-01-14 12:00:00,7053.6
2022-01-14 13:00:00,7151.8
2022-01-14 14:00:00,6983.0
2022-01-14 15:00:00,6415.3
2022-01-14 16:00:00,4590.1
2022-01-14 17:00:00,1646.5
2022-01-14 18:00:00,97.3
2022-01-14 19:00:00,6.5
2022-01-14 20:00:00,4.0
2022-01-14 21:00:00,3.9
2022-01-14 22:00:00,0.6
2022-01-14 23:00:00,0.5
2022-01-15 00:00:00,0.1
2022-01-15 01:00:00,0.1
2022-01-15 02:00:00,0.1
2022-01-15 03:00:00,0.1
2022-01-15 04:00:00,0.1
2022-01-15 05:00:00,0.1
2022-01-15 06:00:00,0.1
2022-01-15 07:00:00,2.5
2022-01-15 08:00:00,207.9
2022-01-15 09:00:00,2078.2
2022-01-15 10:00:00,5135.2
2022-01-15 11:00:00,6810.9
2022-01-15 12:00:00,7648.6
