datetime,Hidráulica,Ajuste P48,Saldo Andorra,Saldo Marruecos,Saldo Francia,Saldo Portugal,otras renovables,Residuos no renovables,Cogeneración,Eólica,Carbón,Enlace Baleares,Consumo bombeo,Solar térmica,Solar fotovoltaica,Ciclo combinado,Turbinación bombeo,Nuclear
2022-01-01 00:00:00,2171.6,0.0,-44.0,33.0,3330.0,-761.1,584.1,312.5,1742.8,6380.8,810.0,-40.8,-1243.0,10.0,7.1,1885.4,50.0,6096.7
2022-01-01 01:00:00,2075.1,100.0,-42.0,133.0,3330.0,-1673.8,572.9,313.9,1729.1,6563.3,815.0,-40.8,-1688.0,10.0,19.1,1948.8,0.0,6098.6
2022-01-01 02:00:00,1902.1,0.0,-39.0,333.0,3330.0,-1943.0,571.6,313.1,1691.4,6479.1,825.0,-40.8,-1914.8,10.0,0.1,1937.9,0.0,6097.7
2022-01-01 03:00:00,1739.4,100.0,-37.0,433.0,3145.0,-2272.2,569.7,314.0,1643.1,6350.9,825.0,-40.8,-2601.4,10.0,0.1,1785.8,0.0,6096.7
2022-01-01 04:00:00,1654.3,-100.0,-35.0,433.0,3145.0,-2167.9,571.5,313.1,1648.6,6071.0,865.0,-40.8,-2812.0,10.0,0.1,1785.6,0.0,6097.7
2022-01-01 05:00:00,1640.3,100.0,-35.0,433.0,3145.0,-2201.0,571.2,313.7,1636.1,6024.0,745.0,-40.8,-2971.0,10.0,14.7,1742.6,0.0,6096.7
2022-01-01 06:00:00,1648.2,-100.0,-37.0,433.0,3145.0,-2103.1,570.8,313.0,1653.2,5905.3,825.0,-40.8,-2916.7,10.0,15.4,1827.8,0.0,6098.6
2022-01-01 07:00:00,1827.9,-200.0,-39.0,433.0,3006.0,-1957.4,571.8,312.9,1654.3,6136.4,745.0,-40.8,-2959.0,10.1,2.7,1915.9,0.0,6098.6
2022-01-01 08:00:00,1836.8,-300.0,-42.0,433.0,2912.0,-1664.5,576.6,312.7,1660.3,6040.4,745.0,-40.8,-3047.0,10.4,212.5,1921.0,0.0,6097.7
2022-01-01 09:00:00,1868.9,-300.0,-46.0,133.0,2692.0,-1917.8,578.3,312.4,1650.5,6075.4,735.7,-40.8,-3404.0,14.2,2025.4,1797.7,0.0,6098.6
2022-01-01 10:00:00,1927.9,-300.0,-51.0,0.0,1816.3,-1700.0,578.4,312.6,1646.2,5704.9,725.0,-40.8,-3386.2,116.3,4923.9,1656.3,0.0,6097.7
2022-01-01 11:00:00,1876.6,-200.0,-55.0,0.0,1244.7,-1700.0,577.3,312.9,1647.4,5262.8,713.1,-40.8,-3362.1,590.3,6459.5,1652.5,0.0,6098.6
2022-01-01 12:00:00,1858.2,-300.0,-57.0,0.0,2043.7,-2144.6,579.0,312.7,1662.8,4467.0,655.5,-40.8,-3247.0,879.3,7189.2,1709.7,0.0,6096.7
